date,country,H,I,S,M,D
2022-02-19,Sweden,0,0,1,6,3
2022-02-20,Australia,0,0,0,19,6
2022-02-20,Sweden,0,0,1,6,3
2022-02-21,Australia,0,0,0,19,6
2022-02-21,Sweden,0,0,1,6,3
2022-02-22,Australia,0,0,0,19,6
2022-02-22,Sweden,0,0,1,6,3
2022-02-23,Australia,0,0,0,19,6
2022-02-23,Sweden,0,0,1,6,3
2022-02-24,Australia,0,0,0,19,6
2022-02-24,Sweden,0,0,1,6,3
2022-02-25,Australia,0,0,0,19,6
2022-02-25,Sweden,0,0,1,6,3
2022-02-26,Australia,0,0,0,19,6
2022-02-26,Sweden,0,0,1,6,3
2022-02-27,Australia,0,0,0,19,6
2022-02-27,Sweden,0,0,1,6,3
2022-02-28,Australia,0,0,0,19,6
2022-02-28,Sweden,0,0,1,6,3
2022-03-01,Australia,0,0,0,19,6
2022-03-01,Sweden,0,0,1,6,3
2022-03-02,Australia,0,0,0,19,6
2022-03-02,Sweden,0,0,1,6,3
2022-03-03,Australia,0,0,0,19,6
2022-03-03,Sweden,0,0,0,7,3
2022-03-04,Australia,0,0,0,19,6
2022-03-04,Sweden,0,0,0,7,3
2022-03-05,Australia,0,0,0,19,6
2022-03-05,Sweden,0,0,0,7,3
2022-03-06,Australia,0,0,0,19,6
2022-03-06,Sweden,0,0,0,7,3
2022-03-07,Australia,0,0,0,19,6
2022-03-07,Sweden,0,0,0,7,3
2022-03-08,Australia,0,0,0,19,6
2022-03-08,Sweden,0,0,0,7,3
2022-03-09,Australia,0,0,0,19,6
2022-03-09,Sweden,0,0,0,7,3
2022-03-10,Australia,0,0,0,19,6
2022-03-10,Sweden,0,0,0,7,3
2022-03-11,Australia,0,0,0,19,6
2022-03-11,Sweden,0,0,0,7,3
2022-03-12,Australia,0,0,0,19,6
2022-03-12,Sweden,0,0,0,7,3
2022-03-13,Australia,0,0,0,19,6
2022-03-13,Sweden,0,0,0,7,3
2022-03-14,Australia,0,0,0,19,6
2022-03-14,Sweden,0,0,0,7,3
2022-03-15,Australia,0,0,0,19,6
2022-03-15,Sweden,0,0,0,7,3
2022-03-16,Australia,0,0,0,19,6
2022-03-16,Sweden,0,0,0,7,3
2022-03-17,Australia,0,0,0,19,6
2022-03-17,Sweden,0,0,0,7,3
2022-03-18,Australia,0,0,0,19,6
2022-03-18,Sweden,0,0,0,7,3
2022-03-19,Australia,0,0,0,19,6
2022-03-19,Sweden,0,0,0,7,3
2022-03-20,Australia,0,0,0,19,6
2022-03-20,Sweden,0,0,0,7,3
2022-03-21,Australia,0,0,0,19,6
2022-03-21,Sweden,0,0,0,7,3
2022-03-22,Australia,0,0,0,19,6
2022-03-22,Sweden,0,0,0,7,3
2022-03-23,Australia,0,0,0,19,6
2022-03-23,Sweden,0,0,0,7,3
2022-03-24,Australia,0,0,0,19,6
2022-03-24,Sweden,0,0,0,7,3
2022-03-25,Australia,0,0,0,19,6
2022-03-25,Sweden,0,0,0,7,3
2022-03-26,Australia,0,0,0,19,6
2022-03-26,Sweden,0,0,0,7,3
2022-03-27,Australia,0,0,0,19,6
2022-03-27,Sweden,0,0,0,7,3
2022-03-28,Australia,0,0,0,19,6
2022-03-28,Sweden,0,0,0,7,3
2022-03-29,Australia,0,0,0,19,6
2022-03-29,Sweden,0,0,0,7,3
2022-03-30,Australia,0,0,0,19,6
2022-03-30,Sweden,0,0,0,7,3
2022-03-31,Australia,0,0,0,19,6
2022-03-31,Sweden,0,0,0,7,3
2022-04-01,Australia,0,0,0,19,6
2022-04-01,Sweden,0,0,0,7,3
2022-04-02,Australia,0,0,0,19,6
2022-04-02,Sweden,0,0,0,7,3
2022-04-03,Australia,0,0,0,19,6
2022-04-03,Sweden,0,0,0,7,3
2022-04-04,Australia,0,0,0,19,6
2022-04-04,Sweden,0,0,0,7,3
2022-04-05,Australia,0,0,0,19,6
2022-04-05,Sweden,0,0,0,7,3
2022-04-06,Australia,0,0,0,19,6
2022-04-06,Sweden,0,0,0,7,3
2022-04-07,Australia,0,0,0,19,6
2022-04-07,Sweden,0,0,0,7,3
2022-04-08,Australia,0,0,0,19,6
2022-04-08,Sweden,0,0,0,7,3
2022-04-09,Australia,0,0,0,19,6
2022-04-09,Sweden,0,0,0,7,3
2022-04-10,Australia,0,0,0,19,6
2022-04-10,Sweden,0,0,0,7,3
2022-04-11,Australia,0,0,0,19,6
2022-04-11,Sweden,0,0,0,7,3
2022-04-12,Australia,0,0,0,19,6
2022-04-12,Sweden,0,0,0,7,3
2022-04-13,Australia,0,0,0,19,6
2022-04-13,Sweden,0,0,0,7,3
2022-04-14,Australia,0,0,0,19,6
2022-04-14,Sweden,0,0,0,7,3
2022-04-15,Australia,0,0,0,19,6
2022-04-15,Sweden,0,0,0,7,3
2022-04-16,Australia,1,0,0,18,6
2022-04-16,Sweden,0,0,0,7,3
2022-04-17,Australia,0,1,0,18,6
2022-04-17,Sweden,0,0,0,7,3
2022-04-18,Australia,0,1,0,18,6
2022-04-18,Sweden,1,0,0,6,3
2022-04-19,Australia,0,1,0,18,6
2022-04-19,Sweden,0,1,0,6,3
2022-04-20,Australia,0,1,0,18,6
2022-04-20,Sweden,0,1,0,6,3
2022-04-21,Australia,0,0,1,18,6
2022-04-21,Sweden,0,1,0,6,3
2022-04-22,Australia,0,0,1,18,6
2022-04-22,Sweden,0,1,0,6,3
2022-04-23,Australia,0,0,1,18,6
2022-04-23,Sweden,1,0,0,6,3
2022-04-24,Australia,0,0,1,18,6
2022-04-24,Sweden,1,0,0,6,3
2022-04-25,Australia,1,0,1,17,6
2022-04-25,Sweden,1,0,0,6,3
2022-04-26,Australia,1,0,1,17,6
2022-04-26,Sweden,0,1,0,6,3
2022-04-27,Australia,1,0,1,17,6
2022-04-27,Sweden,0,1,0,6,3
2022-04-28,Australia,3,0,1,15,6
2022-04-28,Sweden,0,1,0,6,3
2022-04-29,Australia,4,0,1,14,6
2022-04-29,Sweden,0,1,0,6,3
2022-04-30,Australia,4,0,1,14,6
2022-04-30,Sweden,1,0,0,6,3
